date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-05-14,RELIANCE,1260.449951,1269.349976,1231.5,1236.5,13001004.0,1248.884033,0,0,0,13001004.0,0,0
2019-05-15,RELIANCE,1256.900024,1278.0,1250.599976,1273.0,11163801.0,1245.366699,0,0,0,11163801.0,0,0
2019-05-16,RELIANCE,1265.349976,1271.900024,1258.099976,1259.949951,6606652.0,1253.739136,0,0,0,6606652.0,0,0
2019-05-17,RELIANCE,1267.400024,1276.949951,1252.0,1267.0,7898440.0,1255.770386,0,0,0,7898440.0,0,0
2019-05-20,RELIANCE,1325.900024,1337.699951,1303.5,1313.599976,12333937.0,1313.733521,0,0,0,12333937.0,0,0
2019-05-21,RELIANCE,1339.800049,1367.0,1330.050049,1332.199951,13872055.0,1327.505981,0,0,0,13872055.0,0,0
2019-05-22,RELIANCE,1340.400024,1359.699951,1335.099976,1345.650024,11287400.0,1328.100464,0,0,0,11287400.0,0,0
2019-05-23,RELIANCE,1333.900024,1392.0,1325.0,1372.0,17722514.0,1321.660156,0,0,0,17722514.0,0,0
2019-05-24,RELIANCE,1336.849976,1353.800049,1316.5,1348.0,10180759.0,1324.583008,0,0,0,10180759.0,0,0
2019-05-27,RELIANCE,1310.650024,1337.5,1307.0,1337.099976,7349720.0,1298.623535,0,0,0,7349720.0,0,0
2019-05-28,RELIANCE,1323.75,1334.800049,1313.349976,1319.800049,19472659.0,1311.603271,0,0,0,19472659.0,0,0
2019-05-29,RELIANCE,1313.050049,1333.300049,1304.150024,1321.0,7112830.0,1301.001465,0,0,0,7112830.0,0,0
2019-05-30,RELIANCE,1329.75,1342.0,1316.25,1316.25,10740841.0,1317.548218,0,0,0,10740841.0,0,0
2019-05-31,RELIANCE,1330.150024,1341.900024,1320.199951,1337.900024,11760178.0,1317.94458,0,0,0,11760178.0,0,0
2019-06-03,RELIANCE,1360.199951,1367.25,1321.199951,1335.0,8483610.0,1347.71875,0,0,0,8483610.0,0,0
2019-06-04,RELIANCE,1351.650024,1374.25,1348.099976,1357.449951,7059911.0,1339.247314,0,0,0,7059911.0,0,0
2019-06-06,RELIANCE,1327.349976,1361.900024,1321.099976,1361.900024,7664319.0,1315.170166,0,0,0,7664319.0,0,0
2019-06-07,RELIANCE,1314.900024,1327.25,1305.599976,1325.949951,6730595.0,1302.834595,0,0,0,6730595.0,0,0
2019-06-10,RELIANCE,1319.150024,1327.0,1310.099976,1320.900024,5380148.0,1307.045532,0,0,0,5380148.0,0,0
2019-06-11,RELIANCE,1329.150024,1334.5,1318.0,1321.849976,5253790.0,1316.953735,0,0,0,5253790.0,0,0
2019-06-12,RELIANCE,1332.150024,1338.400024,1325.0,1334.699951,4707716.0,1319.92627,0,0,0,4707716.0,0,0
2019-06-13,RELIANCE,1327.25,1334.699951,1308.650024,1330.0,7171189.0,1315.071167,0,0,0,7171189.0,0,0
2019-06-14,RELIANCE,1317.550049,1325.0,1309.400024,1321.900024,6831331.0,1305.460205,0,0,0,6831331.0,0,0
2019-06-17,RELIANCE,1282.300049,1320.0,1278.5,1320.0,6815554.0,1270.533691,0,0,0,6815554.0,0,0
2019-06-18,RELIANCE,1281.0,1287.949951,1269.099976,1278.900024,7679193.0,1269.245483,0,0,0,7679193.0,0,0
2019-06-19,RELIANCE,1277.349976,1302.0,1262.599976,1286.900024,6625604.0,1265.629028,0,0,0,6625604.0,0,0
2019-06-20,RELIANCE,1296.75,1300.0,1278.0,1280.0,4914012.0,1284.851074,0,0,0,4914012.0,0,0
2019-06-21,RELIANCE,1279.5,1296.0,1275.550049,1295.949951,10623098.0,1267.759277,0,0,0,10623098.0,0,0
2019-06-24,RELIANCE,1262.400024,1276.449951,1257.099976,1272.150024,5150998.0,1250.816162,0,0,0,5150998.0,0,0
